곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str
"['GN0509', 'GN0105', 'GN0101', 'GN0506', 'GN0501']",20200318,하얀밤,10404078,[2240798],하얀밤,"['GN0500', 'GN0100']",['무니 (Moonee)'],555410,GN0500 GN0100
"['GN0101', 'GN0103']",19970201,화산(火山),3849,[956],무기여 잘 있거라,['GN0100'],['박상민'],376229,GN0100
"['GN0105', 'GN0101']",20151208,네게 말했던,2655162,[924539],Maybe,['GN0100'],['승표'],136167,GN0100
"['GN0105', 'GN1501']",20120705,사랑과 전쟁 2 OST Part.1,2136395,[455161],우리 처음 만난 날 기억하고 있니,"['GN1500', 'GN0100']",['리디아 (Lydia)'],19027,GN1500 GN0100
"['GN0105', 'GN0101']",20190501,치킨보다 너,10280115,[1908573],치킨보다 너 (Feat. 우카),['GN0100'],['롤링페이퍼 (Rolling Paper)'],288096,GN0100
['GN0101'],20030312,His Ballad Ⅱ,30708,[26],그대는 모릅니다,['GN0100'],['이승환'],419460,GN0100
['GN0101'],20071019,Boorish Love,359454,[230206],미칠 듯 (Feat. 노을),['GN0100'],['트리탑스'],420455,GN0100
"['GN0105', 'GN0101']",20110112,라떼 한잔,1135451,[174997],안녕 안녕... (Feat. 포스트맨),['GN0100'],['가비엔제이'],157959,GN0100
"['GN0101', 'GN0102']",20020209,Old And New,355804,[43],옛사랑,['GN0100'],['이문세'],462551,GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20181206,설렘주의보 OST Part.5,10230064,[925281],그대가 좋아서,"['GN1500', 'GN0100']",['은희 (Eunhee)'],568246,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20120220,컬러 오브 우먼 OST,2082411,[228276],사랑하나봐,"['GN1500', 'GN0100']",['윤화재인'],359888,GN1500 GN0100
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20171030,twicetagram,10107114,[905701],24/7,"['GN2500', 'GN0200']",['TWICE (트와이스)'],656524,GN2500 GN0200
['GN0201'],20070906,With A Twist,357673,[194724],눈 먼 사랑,['GN0200'],['바나나 보트'],569762,GN0200
"['GN0204', 'GN0201']",20090818,R2Song,634955,[1719],R2song 아리송 (Original),['GN0200'],['황보'],603856,GN0200
"['GN2502', 'GN1501', 'GN2501', 'GN2506', 'GN0201', 'GN1504']",20151126,달콤살벌 패밀리 Part.1,2653120,[647971],Goodbye Sadness,"['GN2500', 'GN1500', 'GN0200']",['비투비'],705593,GN2500 GN1500 GN0200
['GN0201'],20110218,Message Songs,1179463,[174832],뇌 (Brain),['GN0200'],['권C널'],153633,GN0200
"['GN0204', 'GN0201']",20090612,Bad Girl,585955,[417960],Bad Girl,['GN0200'],['데빌앤엔젤'],457628,GN0200
"['GN0204', 'GN0201']",20001101,Passion,709,[100022],Blue,['GN0200'],['KYT (코요태)'],461427,GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20170410,HIGH FIVE,10053467,[483581],재밌어? (Love is),"['GN2500', 'GN0200']",['틴탑'],197627,GN2500 GN0200
"['GN0203', 'GN0201']",20031201,이승철 Best of Best,311335,[1010],오늘도 난,['GN0200'],['이승철'],44733,GN0200
"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20100928,Mastermind,1028051,[436981],Break Down,"['GN2500', 'GN0200']",['비스트'],313307,GN2500 GN0200
"['GN0204', 'GN0201']",20030828,It‘s My Time,32223,[41894],위험한 연출,['GN0200'],['채연'],422029,GN0200
['GN0201'],20060417,하이봐,316940,[184107],화이트 좋은느낌 애니데이 송,['GN0200'],['하이봐'],498916,GN0200
"['GN0205', 'GN0201']",20160520,"Shake It, Shake It",2685996,[914522],"Shake It, Shake It",['GN0200'],['로드 보이즈'],102375,GN0200
"['GN0205', 'GN1501', 'GN0201', 'GN1504']",20110621,내게 거짓말을 해봐 OST,1313574,[436980],I Belong To You,"['GN1500', 'GN0200']",['엠블랙'],527623,GN1500 GN0200
['GN0201'],20111213,2011 SMTOWN Winter `The Warmest Gift`,2048647,[160072],Last Christmas (Sung By SHINee),['GN0200'],['SMTOWN'],261338,GN0200
"['GN0204', 'GN0201']",20040629,2004 Summer Vacation In SMTown.com,34987,[2165],Midnight Parade,['GN0200'],['보아 (BoA)'],98501,GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190130,EXO PLANET #4 &#8211;The EℓyXiOn (dot)&#8211; Live Album,10247513,[724619],소름 (Chill),"['GN2500', 'GN0200']",['EXO'],408824,GN2500 GN0200
['GN0201'],20170612,City Nite,10069979,[895931],City Nite,['GN0200'],['HYDN'],192569,GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20150810,Sweet Girl,2333211,[535440],Love is Magic,"['GN2500', 'GN0200']",['B1A4'],415623,GN2500 GN0200
['GN0201'],20150508,MY,2317431,[458401],니가 처음이야 (Feat. 기리보이),['GN0200'],['장현승'],598327,GN0200
"['GN0204', 'GN0201']",20011031,화(花),4534,[1100],All I Wanna Do,['GN0200'],['엄정화'],659511,GN0200
"['GN0203', 'GN0201']",19960400,Back To The Black,5322,[100015],마음속을 걸어가,['GN0200'],['R.ef'],389089,GN0200
"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20021008,CUK-Pop 02,16774,[101266],신기루,"['GN2500', 'GN0200']",['K-Pop'],486209,GN2500 GN0200
"['GN0204', 'GN0201']",20080715,I Believe,389121,[216382],Sexy,['GN0200'],['베이비 복스 2기'],204821,GN0200
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20100909,To Anyone,1017253,[406712],사랑은 아야야,"['GN2500', 'GN0200']",['2NE1'],591813,GN2500 GN0200
['GN0201'],20030823,Kossa 01,32422,[107547],그녀의 슬픈 한마디,['GN0200'],['Kossa'],122774,GN0200
['GN0201'],20151221,AGAIN (다시),2657769,[100059],다시 (Inst.),['GN0200'],['터보'],248856,GN0200
['GN0201'],20161128,GOOD TIMING,10018664,[535440],Intro - Time,['GN0200'],['B1A4'],488424,GN0200
"['GN0203', 'GN0201']",19960000,Turn On The Neon,7692,[101089],삐뚤어진 입,['GN0200'],['Neon'],235806,GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20200409,Remember,10408786,[775197],세레나데 (HOONY SOLO),"['GN2500', 'GN0200']",['WINNER'],158108,GN2500 GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20110714,Break Up,1336051,"[458181, 426860, 475721]",Break Up,"['GN2500', 'GN0200']","['이기광', '용감한 형제', '일렉트로보이즈']",616067,GN2500 GN0200
"['GN0204', 'GN0201']",20001108,Two House Prism,725,[100135],청춘의 덫,['GN0200'],['듀크'],158237,GN0200
"['GN0204', 'GN0201']",20090616,마스카라,587254,[315175],마스카라,['GN0200'],['브랜뉴데이'],433057,GN0200
"['GN0205', 'GN0201']",20160811,Lee Min Woo Christmas Live 2015,2703758,[1742],Taxi (Live),['GN0200'],['M (이민우)'],227118,GN0200
"['GN2502', 'GN0203', 'GN2501', 'GN2506', 'GN0201']",19990700,2000-1,4978,[100096],Techno Time,"['GN2500', 'GN0200']",['태사자'],213977,GN2500 GN0200
"['GN0205', 'GN0201']",20110330,Who Cares,1232264,[531428],Who Cares,['GN0200'],['리타'],334017,GN0200
"['GN0203', 'GN0201']",19950718,Part 3 It`s Time To Captain,2034346,[584011],Space Scene,['GN0200'],['캡틴 퓨처'],633567,GN0200
['GN0201'],20120425,칭찬해줘,2116912,[184019],Together (Inst.),['GN0200'],['이준기'],458060,GN0200
"['GN0205', 'GN0201']",20100624,좋은 날,934552,[160123],왠지 좋은 날 (Feat. Hex),['GN0200'],['원써겐'],321610,GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20110915,IN HEAVEN,2012768,[499453],I.D.S (I Deal Scenario),"['GN2500', 'GN0200']",['JYJ'],33992,GN2500 GN0200
['GN0201'],20030623,2003 Summer Vacation In SMTown.Com,31809,[160139],Dear My Friend..,['GN0200'],['다나 (DANA)'],744,GN0200
"['GN0202', 'GN0201']",19890601,Journey To Dream,313430,[1456],미련,['GN0200'],['손진태'],65236,GN0200
"['GN0205', 'GN0201']",20120718,MBC뮤직 `MM Choice` Part.2,2137618,"[672041, 1837, 12081, 685900]",나나나,['GN0200'],"['JJ Project', '김세황', '로빈', 'LIP2SHOT']",379146,GN0200
"['GN0204', 'GN0201']",20030613,U;nee Code,31468,[37573],두번째 트릭,['GN0200'],['유니'],382413,GN0200
['GN0201'],20130404,The 3rd Album Part.2 `Love Blossom (러브블러썸)`,2180379,[175139],Marry Me,['GN0200'],['케이윌'],287571,GN0200
['GN0201'],20140619,The 1st Album BLAST,2261463,[775464],Git It Girl,['GN0200'],['블래스트'],244656,GN0200
"['GN0205', 'GN0201']",20110901,Wannabe,2009847,[561731],Hello Bus (Rap Ver.),['GN0200'],['에이프릴키스'],518505,GN0200
"['GN0205', 'GN0201']",20180710,F;UZZLE,10183477,[1815140],BBQ (At the Barbecue),['GN0200'],['마이틴'],133881,GN0200
['GN0201'],20170125,2월 생일축하노래,10033398,[914177],2월1일 생일축하노래,['GN0200'],['축하사절단'],70218,GN0200
['GN0201'],20171016,DRIVING MUSIC,10101963,[1229362],MOTIVATION,['GN0200'],['Mark James'],290516,GN0200
"['GN0204', 'GN0201']",20010321,Confession,1865,[1010],외면,['GN0200'],['이승철'],600166,GN0200
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20191004,WEEKAND,10334669,[1585],WEEKAND,"['GN2500', 'GN0200']",['장우혁'],269080,GN2500 GN0200
"['GN2502', 'GN2506', 'GN2501', 'GN0203', 'GN0201']",19990400,T.O.P.,4247,[100078],푸리,"['GN2500', 'GN0200']",['신화'],320614,GN2500 GN0200
"['GN0204', 'GN0201']",20020315,필립 4집,15980,[100022],아리랑 목동,['GN0200'],['KYT (코요태)'],117681,GN0200
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180528,BINGLE BANGLE,10170965,[686920],뚜뚜뚜,"['GN2500', 'GN0200']",['AOA'],679956,GN2500 GN0200
"['GN0509', 'GN0201', 'GN0501']",20190407,널 좋아하고 있어,10270711,[1907445],"널 좋아하고 있어 (with. 기린, Dala, 준구)","['GN0500', 'GN0200']",['박문치'],690715,GN0500 GN0200
['GN0201'],20140408,우우 (Ooh Ooh),2246331,[592049],우우 (Ooh Ooh) (Feat. 호야 Of 인피니트),['GN0200'],['에릭남 (Eric Nam)'],128239,GN0200
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190808,WEEK END LOL,10315976,[1816806],Picky Picky,"['GN2500', 'GN0200']",['위키미키 (Weki Meki)'],604962,GN2500 GN0200
['GN0201'],20061013,Rain`s World,328756,[17671],Friends (Feat. Tiger JK),['GN0200'],['비'],243182,GN0200
"['GN0205', 'GN0201']",20111214,7dayz,2049918,[596631],7dayz,['GN0200'],['블루마블'],220746,GN0200
"['GN0205', 'GN0201']",20170725,TURBO SPLASH,10082432,[100059],Paradise,['GN0200'],['터보'],603812,GN0200
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190219,[X X],10252794,[1229429],Perfect Love,"['GN2500', 'GN0200']",['이달의 소녀'],556909,GN2500 GN0200
"['GN0205', 'GN0201']",20120627,`THE BLAQ%` TOUR PART 1,2131866,"[468640, 612449]",Wild,['GN0200'],"['지오 (G.O)', '미르 (MBLAQ)']",313397,GN0200
"['GN0203', 'GN0201']",20040419,Cool Best,34419,[100004],맥주와 땅콩,['GN0200'],['쿨 (COOL)'],637476,GN0200
['GN0201'],20161115,최신 가요 힛트다 힛트,10016484,[2727],토요일 밤에,['GN0200'],['Various Artists'],693735,GN0200
['GN0201'],20101101,20th Anniversary,1059756,[25],처음 그 느낌처럼,['GN0200'],['신승훈'],124291,GN0200
['GN0201'],20090625,사랑만사,593959,[100025],사랑만사 (Inst.),['GN0200'],['노이즈'],299932,GN0200
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20170607,Hands on Me,10068972,[968265],Why Don`t You Know (Feat. 넉살),"['GN2500', 'GN0200']",['청하'],113664,GN2500 GN0200
['GN0201'],19961100,Unchangeable,5351,[100025],The Monkey`s World,['GN0200'],['노이즈'],542463,GN0200
"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20081029,SHINee The First Album (Repackage) - Amigo,399303,[247639],사랑의 길 (Love`s Way),"['GN2500', 'GN0200']",['SHINee (샤이니)'],522524,GN2500 GN0200
"['GN0205', 'GN0201']",20170611,말해 봐,10070042,[1759154],말해 봐,['GN0200'],['제이투'],276950,GN0200
"['GN0204', 'GN0201']",20050830,필업 (Feel Up),307172,[100022],믿어볼까? (Feat. 천명훈),['GN0200'],['KYT (코요태)'],222176,GN0200
"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20010628,"Hey, Come On!",2585,[100078],Reminiscence,"['GN2500', 'GN0200']",['신화'],210454,GN2500 GN0200
"['GN0205', 'GN0201']",20110113,Popsicle,1137254,[516860],한 여름날 눈이 내릴 때까지 너를 사랑해 (한.눈.해),['GN0200'],['팝시클'],637154,GN0200
"['GN0203', 'GN0201']",19970101,T.O.M.,7881,[102039],철수의 사랑,['GN0200'],['T.O.M'],487597,GN0200
"['GN0205', 'GN0201']",20120816,운동 (Exercise),2141369,[689391],막춤,['GN0200'],['김샛별'],660049,GN0200
['GN0201'],20130212,오리엔탈 블루 (Oriental Blue),2174968,[451061],아옹다옹,['GN0200'],['미지'],109637,GN0200
"['GN0205', 'GN0201']",20180210,THE UNI+ FINAL,10138438,[2086267],Dancing With The Devil,['GN0200'],['유닛플러스'],589570,GN0200
"['GN0202', 'GN0201']",19860325,김범룡 2집,310962,[41],그대는 미운사람,['GN0200'],['김범룡'],135445,GN0200
['GN0201'],19990000,99 Mix Mac 히트가요 논스톱,79735,[1008],내가 기다린 사랑,['GN0200'],['유승준'],652246,GN0200
