곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str,index,tags
['GN0101'],20060221,Brown Days,314503,[180715],Another Day,['GN0100'],['펑키 브라운'],310859,GN0100,310859.0,락그루브 네오 어깨춤 펑키 신나는
"['GN0105', 'GN0101']",20180523,Love,10169033,[836766],"계절, 그대",['GN0100'],['이해문'],608520,GN0100,608520.0,감성 잔잔한 발라드 슬픈 사랑 이별
"['GN0105', 'GN0101']",20190226,이렇게 좋은걸,10254939,[2021064],이렇게 좋은걸,['GN0100'],['타르트'],630759,GN0100,630759.0,프로포즈 연인 발라드 인디 사랑설렘 사랑
"['GN0105', 'GN0101']",20130524,Twelve Hits,2186399,[6225],이별의 끝은 어디인가요,['GN0100'],['이기찬'],387973,GN0100,,
"['GN0501', 'GN0101', 'GN0506', 'GN0509']",20190205,나만,10248437,[755372],나만,"['GN0500', 'GN0100']",['이준호'],637854,GN0500 GN0100,637854.0,잔잔한노래 가성 잠들기전에 잠 발라드감성 드라이브 발라드이불속 감성 겨울 이별 발라드햇살 매장음악 봄 카페 발라드 잔잔한 모닝 커피 감성 추천노래비오는날 감성 밤 잔잔한 새벽 불면 인디 무더위추억 감성 밤 잔잔한 외로운 그리울때 산책 발라드 홀로 새벽푹빠질수도있음 요즘듣는노래휴식 매장음악 가을 카페 발라드 매장 슬픈 기분전환 이별 인디감성 봄 발라드 오후 나른한 혼자있을때 커피 휴식 힐링 우울비오는날 감성 발라드 새벽 슬픔 이별감성 DJ 밤 새벽 취향저격 목소리 발라드 달 Relex 베스트감성 카페 잔잔한 연인 새벽 슬픔 위로 이별추억 감성 봄 주말 발라드 감수성 잔잔한 휴식 쓸쓸할때 힐링출근길 봄 아침 발라드 가사가좋은노래 센치 음색 감성 이별인디음악 대세감성 봄 발라드 취향저격 잔잔한 따스한 위로 휴식 띵곡 매장이별 새벽감성 밤 눈물 새벽 슬픈노래 100곡 그리움 슬픔 아픔 이별감성 듣기좋은 봄 발라드 외로운 음색 애절한 힐링 산책 쓸쓸할때감성 잔잔한 발라드 슬픈 사랑 이별잠자기전에 슬픔 이별 발라드감성곡 발라드 띵곡 새벽노래추천곡 감성 봄 잔잔한 매장 따스한 위로 햇살 힐링 발라드후회 휴식 봄 카페 발라드 잔잔한 그리움 감성 어쿠스틱한 인디매장음악 카페 발라드잔잔한 감성 혼자 회상 추억 그리움 이별 쓸쓸함 발라드 외로움휴식 봄 카페 발라드 취향저격 잔잔한 감성 기분전환 띵곡 따뜻한감성 눈물 발라드 치유 추억 슬픔 사랑 상처 아픔 이별감성 혼자 발라드 우울한날 센치한날 슬픔 외로움감성 매장음악 눈물 발라드 오후 추억 위로 마음을 외로움느낌있는 잔잔한 발라드 믿고듣는 공감 봄날 애절한 힐링 어쿠스티한기분좋은 기분전환 기분좋아감성 비 발라드 이별후 생각 그리움이별 발라드감성 봄 카페 잔잔한 회상 발라드 조용하게 휴식 힐링 스트레스추천발라드 감성 매장음악 발라드 바람부는날 카페에서 나른한 외로워 커피한잔 이별감성 회상 그리움 커피 휴식 아메리카노 쓸쓸할때 가사가좋은음악 인디 외로움슬픔 감성 이별
"['GN0104', 'GN0101']",20011203,시나브로,10575,[100130],Two Men Story,['GN0100'],['유리상자'],87273,GN0100,87273.0,발라드
"['GN1501', 'GN0101', 'GN1504']",20130719,스캔들 OST Part.1,2193509,[100177],내 생애 마지막 사랑,"['GN1500', 'GN0100']",['더 포지션'],9015,GN1500 GN0100,9015.0,슬픔 추억 이별 회상슬픔 추억 이별 회상발라드밀레니엄 임재욱 포지션 감성발라드 감성보컬댄스추억 회상댄스댄스락잔잔한 밤 새벽휴식 힐링 기분전환OSTOST댄스발라드
['GN0101'],20150513,그 대 라 는 꽃,2318045,[861372],그 대 라 는 꽃,['GN0100'],['Sweet Swing'],625133,GN0100,625133.0,매장음악 까페
"['GN0105', 'GN1501']",20101028,글로리아 OST Part.3,1054174,[204924],일년 뒤에도,"['GN1500', 'GN0100']",['간종욱'],228436,GN1500 GN0100,228436.0,드라마ost OST명곡 OST 사랑
"['GN0104', 'GN0101']",20070417,옛사랑 2,349911,[889],세월가면,['GN0100'],['김건모'],400886,GN0100,400886.0,발라드댄스
